sno_student,questionnaire_classification_final,questionnaire_type_initial,school,sno_questionnaire,sno_statement,sno_segment,sno,statement_first,statement_unique,statement_coded_multiple,age,gender,school_grade,consent_given,what_subjects_listed,what follow-up statenents given,coding_round_1_coder_1,coding_round_1_coder_2,coding_round_1_final_coding,coding_round_1_coder_agreement,coding_round_2_coder_1,coding_round_2_coder_2,coding_round_2_final_coding,coding_round_2_coder_agreement,coding_round_3_coder_1_answer_1,coding_round_3_coder_1_answer_2,coding_round_3_coder_1_answer_3,coding_round_3_coder_1_answer_4,coding_round_3_coder_2_answer_1,coding_round_3_coder_2_answer_2,coding_round_3_coder_2_answer_3,coding_round_3_coder_2_answer_4,coding_round_3_coder_agreement,coding_round_3_final_coding_overall,coding_round_3_final_coding_separate,coding_round_4.1_coder_1_answer_1,coding_round_4.1_coder_1_answer_2,coding_round_4.1_coder_1_answer_3,coding_round_4.1_coder_2_answer_1,coding_round_4.1_coder_2_answer_2,coding_round_4.1_coder_2_answer_3,coding_round_4.1_coder_agreement,coding_round_4.1_final_coding_overall,coding_round_4.1_final_coding_separate,coding_round_4.2_coder_1_answer_1,coding_round_4.2_coder_1_answer_2,coding_round_4.2_coder_2_answer_1,coding_round_4.2_coder_2_answer_2,coding_round_4.2_coder_agreement,coding_round_4.2_final_coding_overall,coding_round_4.2_final_coding_separate,comment,additional comment,type,subjects.confidence,subjects.demotivation,subjects.motivation,subjects.unconfidence,biology_c,biology_d,biology_m,biology_u,chemistry_c,chemistry_d,chemistry_m,chemistry_u,english_c,english_d,english_m,english_u,entrepreneurship_c,entrepreneurship_d,entrepreneurship_m,entrepreneurship_u,french_c,french_d,french_m,french_u,geography_c,geography_d,geography_m,geography_u,history_c,history_d,history_m,history_u,ict_c,ict_d,ict_m,ict_u,kinyarwanda_c,kinyarwanda_d,kinyarwanda_m,kinyarwanda_u,kiswahili_c,kiswahili_d,kiswahili_m,kiswahili_u,literature_c,literature_d,literature_m,literature_u,mathematics_c,mathematics_d,mathematics_m,mathematics_u,physics_c,physics_d,physics_m,physics_u,religion_c,religion_d,religion_m,religion_u,sports_c,sports_d,sports_m,sports_u,mathematics_grades,physics_grades,chemistry_grades,biology_grades,kinyarwanda_grades,english_grades,geography_grades,history_grades,entrepreneurship_grades,ict_grades,religion_grades,french_grades,kiswahili_grades,literature_grades,library.and.clubs_grades,sports_grades
1,motivation,demotivation,B,M118,Mm118_1,Mm118_1_1,MOTIVATION1118_1,yes,yes,no,16,Female,1,Yes,"Mathematics,Physics",NA,Yes,Yes,yes,AGREEMENT,Demotivation,Demotivation,demotivation,AGREEMENT,ABILITY,NA,NA,NA,ABILITY,NA,NA,NA,AGREEMENT,ABILITY,ABILITY,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ability,NA,NA,demotivation,"English,History","Mathematics,Physics",,,0,0,NA,NA,0,0,NA,NA,1,0,NA,NA,0,0,NA,NA,0,0,NA,NA,0,0,NA,NA,1,0,NA,NA,0,0,NA,NA,0,0,NA,NA,0,0,NA,NA,0,0,NA,NA,0,1,NA,NA,0,1,NA,NA,0,0,NA,NA,0,0,NA,NA,0.739,0.558,0.633,0.731,0.594,0.757,0.628,0.639,0.767,0.729,0.883,0.571,0.671,0.667,0.842,0.817
1,motivation,demotivation,B,M118,Mm118_10,Mm118_10_1,MOTIVATION1118_10,no,yes,no,16,Female,1,Yes,"Mathematics,Physics",NA,Yes,Yes,yes,AGREEMENT,Demotivation,Demotivation,demotivation,AGREEMENT,DIFFERENT,NA,NA,NA,DIFFERENT,NA,NA,NA,AGREEMENT,DIFFERENT,DIFFERENT,NA,NA,NA,NA,NA,NA,NA,NA,NA,SOURCE,NA,SOURCE,NA,AGREEMENT,SOURCR,source,NA,SITUATIONAL FACTOR,demotivation,"English,History","Mathematics,Physics",,,0,0,NA,NA,0,0,NA,NA,1,0,NA,NA,0,0,NA,NA,0,0,NA,NA,0,0,NA,NA,1,0,NA,NA,0,0,NA,NA,0,0,NA,NA,0,0,NA,NA,0,0,NA,NA,0,1,NA,NA,0,1,NA,NA,0,0,NA,NA,0,0,NA,NA,0.739,0.558,0.633,0.731,0.594,0.757,0.628,0.639,0.767,0.729,0.883,0.571,0.671,0.667,0.842,0.817
1,motivation,demotivation,B,M118,Mm118_2,Mm118_2_1,MOTIVATION1118_2,no,yes,no,16,Female,1,Yes,"Mathematics,Physics",NA,Yes,Yes,yes,AGREEMENT,Demotivation,Demotivation,demotivation,AGREEMENT,DIFFERENT,NA,NA,NA,DIFFERENT,NA,NA,NA,AGREEMENT,DIFFERENT,DIFFERENT,NA,NA,NA,NA,NA,NA,NA,NA,NA,SOURCE,NA,SOURCE,NA,AGREEMENT,SOURCR,source,NA,SITUATIONAL FACTOR,demotivation,"English,History","Mathematics,Physics",,,0,0,NA,NA,0,0,NA,NA,1,0,NA,NA,0,0,NA,NA,0,0,NA,NA,0,0,NA,NA,1,0,NA,NA,0,0,NA,NA,0,0,NA,NA,0,0,NA,NA,0,0,NA,NA,0,1,NA,NA,0,1,NA,NA,0,0,NA,NA,0,0,NA,NA,0.739,0.558,0.633,0.731,0.594,0.757,0.628,0.639,0.767,0.729,0.883,0.571,0.671,0.667,0.842,0.817
1,motivation,demotivation,B,M118,Mm118_3,Mm118_3_1,MOTIVATION1118_3,no,yes,no,16,Female,1,Yes,"Mathematics,Physics",NA,Yes,Yes,yes,AGREEMENT,Demotivation,Demotivation,demotivation,AGREEMENT,DIFFERENT,NA,NA,NA,NEGATIVE,NA,NA,NA,CODER 1,DIFFERENT,DIFFERENT,NA,NA,NA,NA,NA,NA,NA,NA,NA,SOURCE,NA,SOURCE,NA,AGREEMENT,SOURCR,source,NA,SCHOOL SUPPORT [TEACHING QUALITY],demotivation,"English,History","Mathematics,Physics",,,0,0,NA,NA,0,0,NA,NA,1,0,NA,NA,0,0,NA,NA,0,0,NA,NA,0,0,NA,NA,1,0,NA,NA,0,0,NA,NA,0,0,NA,NA,0,0,NA,NA,0,0,NA,NA,0,1,NA,NA,0,1,NA,NA,0,0,NA,NA,0,0,NA,NA,0.739,0.558,0.633,0.731,0.594,0.757,0.628,0.639,0.767,0.729,0.883,0.571,0.671,0.667,0.842,0.817
1,motivation,demotivation,B,M118,Mm118_4,Mm118_4_1,MOTIVATION1118_4,no,yes,no,16,Female,1,Yes,"Mathematics,Physics",NA,Yes,Yes,yes,AGREEMENT,No,No,no,AGREEMENT,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,"English,History","Mathematics,Physics",,,0,0,NA,NA,0,0,NA,NA,1,0,NA,NA,0,0,NA,NA,0,0,NA,NA,0,0,NA,NA,1,0,NA,NA,0,0,NA,NA,0,0,NA,NA,0,0,NA,NA,0,0,NA,NA,0,1,NA,NA,0,1,NA,NA,0,0,NA,NA,0,0,NA,NA,0.739,0.558,0.633,0.731,0.594,0.757,0.628,0.639,0.767,0.729,0.883,0.571,0.671,0.667,0.842,0.817
1,motivation,demotivation,B,M118,Mm118_5,Mm118_5_1,MOTIVATION1118_5,no,yes,no,16,Female,1,Yes,"Mathematics,Physics",NA,Yes,Yes,yes,AGREEMENT,No,No,no,AGREEMENT,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,"English,History","Mathematics,Physics",,,0,0,NA,NA,0,0,NA,NA,1,0,NA,NA,0,0,NA,NA,0,0,NA,NA,0,0,NA,NA,1,0,NA,NA,0,0,NA,NA,0,0,NA,NA,0,0,NA,NA,0,0,NA,NA,0,1,NA,NA,0,1,NA,NA,0,0,NA,NA,0,0,NA,NA,0.739,0.558,0.633,0.731,0.594,0.757,0.628,0.639,0.767,0.729,0.883,0.571,0.671,0.667,0.842,0.817
1,motivation,demotivation,B,M118,Mm118_6,Mm118_6_1,MOTIVATION1118_6,no,yes,no,16,Female,1,Yes,"Mathematics,Physics",NA,Yes,Yes,yes,AGREEMENT,Demotivation,Demotivation,demotivation,AGREEMENT,DIFFERENT,NA,NA,NA,DIFFERENT,NA,NA,NA,AGREEMENT,DIFFERENT,DIFFERENT,NA,NA,NA,NA,NA,NA,NA,NA,NA,SOURCE,NA,SOURCE,NA,AGREEMENT,SOURCR,source,NA,SCHOOL SUPPORT [TEACHING QUALITY],demotivation,"English,History","Mathematics,Physics",,,0,0,NA,NA,0,0,NA,NA,1,0,NA,NA,0,0,NA,NA,0,0,NA,NA,0,0,NA,NA,1,0,NA,NA,0,0,NA,NA,0,0,NA,NA,0,0,NA,NA,0,0,NA,NA,0,1,NA,NA,0,1,NA,NA,0,0,NA,NA,0,0,NA,NA,0.739,0.558,0.633,0.731,0.594,0.757,0.628,0.639,0.767,0.729,0.883,0.571,0.671,0.667,0.842,0.817
1,motivation,demotivation,B,M118,Mm118_7,Mm118_7_1,MOTIVATION1118_7,no,yes,no,16,Female,1,Yes,"Mathematics,Physics",NA,Yes,Yes,yes,AGREEMENT,No,Demotivation,no,CODER 1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,"English,History","Mathematics,Physics",,,0,0,NA,NA,0,0,NA,NA,1,0,NA,NA,0,0,NA,NA,0,0,NA,NA,0,0,NA,NA,1,0,NA,NA,0,0,NA,NA,0,0,NA,NA,0,0,NA,NA,0,0,NA,NA,0,1,NA,NA,0,1,NA,NA,0,0,NA,NA,0,0,NA,NA,0.739,0.558,0.633,0.731,0.594,0.757,0.628,0.639,0.767,0.729,0.883,0.571,0.671,0.667,0.842,0.817
1,motivation,demotivation,B,M118,Mm118_8,Mm118_8_1,MOTIVATION1118_8,no,yes,no,16,Female,1,Yes,"Mathematics,Physics",NA,No,No,no,AGREEMENT,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"English,History","Mathematics,Physics",,,0,0,NA,NA,0,0,NA,NA,1,0,NA,NA,0,0,NA,NA,0,0,NA,NA,0,0,NA,NA,1,0,NA,NA,0,0,NA,NA,0,0,NA,NA,0,0,NA,NA,0,0,NA,NA,0,1,NA,NA,0,1,NA,NA,0,0,NA,NA,0,0,NA,NA,0.739,0.558,0.633,0.731,0.594,0.757,0.628,0.639,0.767,0.729,0.883,0.571,0.671,0.667,0.842,0.817
1,motivation,demotivation,B,M118,Mm118_9,Mm118_9_1,MOTIVATION1118_9,no,yes,no,16,Female,1,Yes,"Mathematics,Physics",NA,Yes,Yes,yes,AGREEMENT,Demotivation,Demotivation,demotivation,AGREEMENT,OUTSIDE,NA,NA,NA,DIFFERENT,NA,NA,NA,CODER 2,DIFFERENT,DIFFERENT,NA,NA,NA,NA,NA,NA,NA,NA,NA,SOURCE,NA,SOURCE,NA,AGREEMENT,SOURCR,source,NA,PERSONAL PROBLEMS,demotivation,"English,History","Mathematics,Physics",,,0,0,NA,NA,0,0,NA,NA,1,0,NA,NA,0,0,NA,NA,0,0,NA,NA,0,0,NA,NA,1,0,NA,NA,0,0,NA,NA,0,0,NA,NA,0,0,NA,NA,0,0,NA,NA,0,1,NA,NA,0,1,NA,NA,0,0,NA,NA,0,0,NA,NA,0.739,0.558,0.633,0.731,0.594,0.757,0.628,0.639,0.767,0.729,0.883,0.571,0.671,0.667,0.842,0.817
